|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Yurt İçi Üretici Fiyat Endeksi (2003=100)|05. (Kömür Ve Linyit)|2025|4870.13|4955.55|4850.69|4827.63|4809.44|4843.99|5154.21|5208.79|5372.84|5551.49|5679.07|5585.33|
||2026|5575.84||||||||||||
|05.1. (Taş Kömürü)|2025|7214.62|7096.43|7340.74|7371.41|7437.66|7428.11|7396.4|7572.82|7686.99|7696.31|7885.98|7715.16|
||2026|7746.86||||||||||||
|05.2. (Linyit)|2025|4388.48|4486.2|4357.83|4331.56|4307.26|4343.54|4664.73|4705.81|4864.56|5047.19|5162.09|5080.34|
||2026|5069.34||||||||||||
|06. (Ham Petrol Ve Doğal Gaz)|2025|9452.53|10047.14|9996.88|10220.08|10046.42|9723.33|10538.47|10905.01|10956.53|10976.94|10498.28|10409.77|
||2026|10256.98||||||||||||
|06.1. (Ham Petrol)|2025|7159.54|7641.77|7592.1|7759.0|7415.05|7254.07|7915.39|8190.22|8223.66|8233.0|7834.79|7755.08|
||2026|7621.39||||||||||||
|06.2. (Doğal Gaz, Sıvılaştırılmış Veya Gaz Halde)|2025|3017.75|3049.15|3090.79|3172.79|4173.62|3654.1|3695.91|3826.85|3871.07|3908.02|3932.52|3967.27|
||2026|4021.46||||||||||||
|07. (Metal Cevherleri)|2025|10735.3|11451.51|12015.43|12823.66|13439.04|13960.81|14239.31|14534.9|15492.91|17149.73|18526.05|19810.23|
||2026|21355.53||||||||||||
|07.1. (Demir Cevherleri)|2025|7170.46|7220.88|7354.25|7368.57|7309.47|7214.39|7416.84|7714.57|7722.33|7904.45|7795.19|7822.23|
||2026|7779.98||||||||||||
|07.2. (Demir Dışı Metal Cevherleri)|2025|14730.49|15872.97|16737.55|18042.7|19062.57|19944.07|20320.09|20688.24|22238.7|24857.17|27129.56|29201.68|
||2026|31894.75||||||||||||
|08. (Diğer Madencilik Ve Taş Ocakçılığı Ürünleri)|2025|4536.93|4690.36|4780.89|4957.96|5010.73|5040.27|5162.03|5251.42|5343.56|5400.7|5430.98|5465.48|
||2026|5647.73||||||||||||
|08.1. (Taş, Kum Ve Kil)|2025|5372.8|5551.49|5661.02|5885.38|5941.89|5976.25|6120.4|6227.54|6345.2|6412.52|6449.78|6488.98|
||2026|6704.87||||||||||||
|08.9. (Başka Yerde Sınıflandırılmamış Madencilik Ve Taş Ocakçılığı Ürünleri)|2025|4905.67|5094.18|5174.57|5255.87|5357.91|5394.46|5526.43|5613.48|5648.88|5713.35|5735.5|5785.24|
||2026|5979.57||||||||||||
|10. (Gıda Ürünleri)|2025|4601.87|4709.25|4818.15|4971.29|5057.72|5096.38|5107.42|5287.03|5645.12|5807.25|5818.93|5857.67|
||2026|6105.78||||||||||||
|10.1. (Korunmuş Et Ve Et Ürünleri)|2025|4938.25|5004.22|5173.19|5406.24|5343.86|5264.66|5105.05|5423.77|5840.66|5848.39|5615.78|5703.75|
||2026|6273.35||||||||||||
|10.2. (Balıklar, Kabuklular Ve Yumuşakçalar (İşlenmiş Ve Korunmuş Olanlar))|2025|2360.62|2426.56|2421.87|2511.57|2588.25|2631.14|2714.57|2696.32|2853.79|2911.83|3010.67|3139.32|
||2026|3255.74||||||||||||
|10.3. (Meyve Ve Sebzeler, İşlenmiş Ve Korunmuş)|2025|6714.25|6851.19|6903.44|7272.46|7857.76|8098.22|8269.12|8534.46|10109.87|10863.54|11063.23|10902.28|
||2026|11176.27||||||||||||
|10.4. (Bitkisel Ve Hayvansal Sıvı Ve Katı Yağlar)|2025|3869.8|3933.85|3993.63|4113.68|4226.03|4291.88|4309.17|4484.74|4785.43|4886.91|5085.94|5178.19|
||2026|5264.9||||||||||||
|10.5. (Süt Ürünleri)|2025|3574.03|3694.06|3758.89|3769.32|3773.11|3773.71|3781.44|3894.28|3964.52|4186.05|4305.6|4341.89|
||2026|4510.37||||||||||||
|10.6. (Öğütülmüş Tahıl Ürünleri, Nişasta Ve Nişastalı Ürünler)|2025|3149.87|3231.78|3298.96|3410.16|3477.8|3530.69|3604.14|3674.86|3786.93|3874.31|3932.37|3974.92|
||2026|4091.51||||||||||||
|10.7. (Fırın Ürünleri Ve Unlu Mamuller)|2025|3661.3|3790.1|3839.13|3872.88|4007.01|4104.18|4197.63|4239.68|4353.89|4466.1|4530.24|4537.46|
||2026|4803.25||||||||||||
|10.8. (Diğer Gıda Ürünleri)|2025|3921.72|4055.62|4168.34|4251.12|4339.63|4435.97|4539.62|4618.52|4773.52|4886.64|4964.1|4981.97|
||2026|5078.17||||||||||||
