||||Sütunlar|||
Satırlar|||||||
||||Dönem 1|Dönem 2|Dönem 3|
Türkiye-TR|Saatlik Işgücü Maliyeti Endeksi (2021=100)|B-E. (Sanayi (İnşaat Hariç))|2025|912.3|1054.1|1016.1|
||B-N. (İş Ekonomisi)|2025|913.4|1008.8|976.4|
||B. (Madencilik Ve Taş Ocakçılığı)|2025|931.9|987.8|1103.9|
||C. (İmalat)|2025|916.2|1060.4|1015.8|
||D. (Elektrik, Gaz, Buhar Ve İklimlendirme Üretimi Ve Dağıtımı)|2025|867.9|992.1|959.1|
||E. (Su Temini, Kanalizasyon, Atık Yönetimi Ve İyileştirme Faaliyetleri)|2025|705.3|897.0|859.6|
||F. (İnşaat)|2025|919.5|998.1|922.0|
||G-N. (İş Ekonomisi Hizmetleri)|2025|918.4|995.2|978.5|
||G. (Toptan Ve Perakende Ticaret, Motorlu Kara Taşıtlarının Ve Motosikletlerin Onarımı)|2025|899.4|981.8|933.1|
||H. (Ulaştırma Ve Depolama)|2025|915.0|1009.4|1040.5|
||I. (Konaklama Ve Yiyecek Hizmeti Faaliyetleri)|2025|958.6|1036.9|1036.4|
||J. (Bilgi Ve İletişim)|2025|983.4|1092.6|1154.8|
||K. (Mali Ve Sigorta Faaliyetleri)|2025|901.5|1067.9|1043.4|
||L. (Gayrimenkul Faaliyetleri)|2025|891.2|998.3|1010.0|
||M. (Mesleki, Bilimsel Ve Teknik Faaliyetler)|2025|876.3|993.8|964.2|
||N. (İdari Ve Destek Hizmet Faaliyetleri)|2025|939.1|1032.9|1033.4|
|||||||
