|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Sanayi Üretim Endeksi (2021=100)|B-D. (Madencilik Ve Taş Ocakçılığı; İmalat; Elektrik, Gaz, Buhar Ve İklimlendirme Temini)|2025|102.2|97.7|107.9|102.1|113.8|101.1|114.1|107.9|113.7|113.9|111.8|132.2|
|B. (Madencilik Ve Taş Ocakçılığı)|2025|96.9|77.8|93.0|90.6|103.7|94.2|107.1|100.3|109.8|109.3|95.3|105.0|
|B05. (Kömür Ve Linyit Çıkartılması)|2025|89.5|72.8|88.4|72.5|90.2|72.8|71.6|74.8|92.9|91.2|92.8|96.1|
|B051. (Taş Kömürü Madenciliği)|2025|115.4|82.5|105.0|84.5|75.1|63.6|74.6|71.7|76.9|72.2|74.1|91.0|
|B0510. (Taş Kömürü Madenciliği)|2025|115.4|82.5|105.0|84.5|75.1|63.6|74.6|71.7|76.9|72.2|74.1|91.0|
|B052. (Linyit Madenciliği)|2025|85.0|71.0|85.4|70.3|92.5|74.2|71.0|75.2|95.4|94.3|95.7|96.8|
|B0520. (Linyit Madenciliği)|2025|85.0|71.0|85.4|70.3|92.5|74.2|71.0|75.2|95.4|94.3|95.7|96.8|
|B06. (Ham Petrol Ve Doğal Gaz Çıkarımı)|2025|224.7|205.7|230.0|228.5|235.9|224.3|228.6|222.7|230.7|237.7|225.3|227.8|
|B061. (Ham Petrol Çıkarımı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|B0610. (Ham Petrol Çıkarımı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|B062. (Doğal Gaz Çıkarımı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|B0620. (Doğal Gaz Çıkarımı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|B07. (Metal Cevherleri Madenciliği)|2025|97.7|69.0|87.3|85.8|87.8|88.7|105.1|88.3|103.8|98.4|62.5|67.9|
|B071. (Demir Cevherleri Madenciliği)|2025|67.6|50.5|69.4|80.5|74.0|62.3|76.5|73.3|67.5|63.3|75.2|79.1|
|B0710. (Demir Cevherleri Madenciliği)|2025|67.6|50.5|69.4|80.5|74.0|62.3|76.5|73.3|67.5|63.3|75.2|79.1|
|B072. (Demir Dışı Metal Cevherleri Madenciliği)|2025|105.0|73.7|92.3|88.6|92.1|95.2|112.3|92.8|112.3|106.6|61.7|67.5|
|B0729. (Diğer Demir Dışı Metal Cevherleri Madenciliği)|2025|105.0|73.7|92.3|88.6|92.1|95.2|112.3|92.8|112.3|106.6|61.7|67.5|
|B08. (Diğer Madencilik Ve Taş Ocakçılığı)|2025|73.0|62.1|71.9|75.3|94.0|81.6|98.1|95.0|95.2|97.9|94.6|110.5|
|B081. (Kum, Kil Ve Taş Ocakçılığı)|2025|74.5|63.2|71.5|76.0|98.2|83.4|99.8|100.8|98.9|99.2|97.5|115.6|
|B0811. (Süsleme Ve Yapı Taşları İle Kireç Taşı, Alçı Taşı, Tebeşir Ve Kayağantaşı (Arduvaz-Kayraktaşı) Ocakçılığı)|2025|71.0|58.7|67.2|73.2|93.2|79.7|96.9|102.5|96.7|93.3|96.5|107.5|
|B0812. (Çakıl Ve Kum Ocaklarının Faaliyetleri; Kil Ve Kaolin Çıkarımı)|2025|76.9|66.4|74.6|77.8|101.6|86.0|101.6|98.9|100.0|103.3|97.7|121.4|
|B089. (Başka Yerde Sınıflandırılmamış Madencilik Ve Taş Ocakçılığı)|2025|68.1|58.6|71.9|72.6|82.2|75.9|92.7|78.9|84.7|93.4|86.3|96.1|
|B0891. (Kimyasal Ve Gübreleme Amaçlı Mineral Madenciliği)|2025|67.8|61.4|81.8|79.1|89.7|91.3|87.7|80.4|88.5|93.5|97.6|102.3|
|B0892. (Turba Çıkarımı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|B0893. (Tuz Çıkarımı)|2025|78.3|70.1|75.2|70.8|75.0|80.6|134.6|85.8|98.0|118.8|115.4|137.6|
