|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Tarım Ürünleri Üretici Fiyat Endeksi (2020=100)|01. (Tarım Ve Avcılık Ürünleri Ve İlgili Hizmetler)|2025|765.14|784.22|841.97|834.76|831.36|997.47|936.76|901.9|958.5|998.06|980.59|1010.03|
||2026|1095.12||||||||||||
|01.1. (Tek Yıllık (Uzun Ömürlü Olmayan) Bitkisel Ürünler)|2025|756.28|760.86|833.97|764.52|709.48|711.04|683.3|676.85|711.35|796.71|791.19|859.0|
||2026|963.25||||||||||||
|01.11. (Tahıllar (Pirinç Hariç), Baklagiller Ve Yağlı Tohumlar)|2025|656.62|675.82|696.4|752.9|741.73|788.23|808.58|826.64|862.36|874.16|878.18|884.92|
||2026|895.94||||||||||||
|01.11.1. (Buğday)|2025|660.68|680.71|694.53|715.36|714.58|784.79|818.78|813.09|829.87|845.71|853.37|858.36|
||2026|865.46||||||||||||
|01.11.2. (Mısır)|2025|684.32|710.92|750.52|799.18|804.92|844.75|847.69|867.41|887.04|883.14|890.68|884.89|
||2026|903.79||||||||||||
|01.11.20.00.00. (Mısır)|2025|684.32|710.92|750.52|799.18|804.92|844.75|847.69|867.41|887.04|883.14|890.68|884.89|
||2026|903.79||||||||||||
|01.11.3. (Arpa, Çavdar Ve Yulaf)|2025|636.29|659.93|698.75|746.81|764.68|849.04|860.22|866.56|884.55|894.34|928.83|950.31|
||2026|981.13||||||||||||
|01.11.31. (Arpa)|2025|636.29|659.93|698.75|746.81|764.68|849.04|860.22|866.56|884.55|894.34|928.83|950.31|
||2026|981.13||||||||||||
|01.11.6. (Taze Baklagil Sebzeler)|2025|1354.37|1374.8|1549.27|1557.6|914.85|976.25|958.59|1103.83|1171.74|1157.0|989.81|1253.29|
||2026|2136.87||||||||||||
|01.11.61.00.01. (Fasulye, Taze)|2025|1354.37|1374.8|1549.27|1518.87|902.7|1016.89|958.59|1103.83|1171.74|1157.0|989.81|1253.29|
||2026|2136.87||||||||||||
|01.11.62.00.00. (Bezelye, Taze)|2025||||1749.75|946.24|850.87|||||||
|01.11.7. (Kuru Baklagil Sebzeler)|2025|749.19|776.9|804.89|783.62|813.82|795.55|851.75|887.67|921.39|981.04|1009.15|1014.73|
||2026|1041.78||||||||||||
|01.11.71.00.01. (Fasulye, Kuru (Barbunya Hariç))|2025|472.66|469.9|470.34|463.17|472.6|472.77|481.81|509.36|564.54|554.91|555.33|551.72|
||2026|555.39||||||||||||
|01.11.73.00.00. (Nohut, Kuru)|2025|1053.46|1089.21|1092.23|1090.99|1123.21|1058.17|1092.34|1101.59|1153.54|1197.96|1221.27|1207.68|
||2026|1228.61||||||||||||
|01.11.74.00.01. (Mercimek, Kuru (Kırmızı))|2025|617.9|675.11|785.75|707.82|766.69|799.2|945.83|1041.88|1020.96|1208.8|1283.28|1332.32|
||2026|1408.61||||||||||||
|01.11.74.00.02. (Mercimek, Kuru (Yeşil))|2025|774.46|797.14|808.92|809.39|819.31|813.9|942.52|954.84|953.93|972.08|1000.26|1014.25|
||2026|1000.87||||||||||||
|01.11.8. (Soya Fasulyesi, Yerfıstığı Ve Pamuk Çekirdeği (Çiğit))|2025|408.69|405.5|389.2|403.46|416.22|413.34|441.24|433.11|504.62|526.98|529.45|527.96|
||2026|524.77||||||||||||
|01.11.81.00.00. (Soya Fasulyesi)|2025|609.29|615.36|611.02|620.54|640.15|653.28|667.18|677.59|686.64|728.31|729.48|727.5|
||2026|748.28||||||||||||
|01.11.82.00.00. (Yerfıstığı, Kabuklu)|2025|344.66|338.51|318.39|334.17|344.75|336.74|369.11|355.07|446.52|462.71|465.6|464.27|
||2026|453.43||||||||||||
|01.11.9. (Diğer Yağlı Tohumlar)|2025|627.74|634.24|641.86|664.88|673.34|678.44|717.52|791.29|886.75|889.83|898.17|895.62|
||2026|897.07||||||||||||
|01.11.95. (Ayçiçeği Tohumu)|2025|627.74|634.24|641.86|664.88|673.34|678.44|717.52|791.29|886.75|889.83|898.17|895.62|
||2026|897.07||||||||||||
|01.12. (Çeltik)|2025|686.37|729.26|739.81|755.41|737.86|723.22|746.05|783.94|839.49|886.69|870.66|849.12|
||2026|833.42||||||||||||
|01.12.10.00.00. (Çeltik)|2025|686.37|729.26|739.81|755.41|737.86|723.22|746.05|783.94|839.49|886.69|870.66|849.12|
||2026|833.42||||||||||||
|01.13. (Sebze Ve Kavun-Karpuz, Kök Ve Yumrular)|2025|916.95|897.31|1033.47|804.97|687.33|661.0|577.43|547.84|555.04|715.09|700.37|856.34|
||2026|1116.91||||||||||||
