|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Tüketici Fiyat Endeksi (2025=100)|01. (Gıda Ve Alkolsüz İçecekler)|2025|89.04|91.86|96.4|98.34|97.64|97.37|97.45|100.39|105.03|108.61|107.86|110.01|
||2026|117.26||||||||||||
|011. (Gıda)|2025|89.13|92.07|96.76|98.77|97.84|97.47|97.33|100.14|104.79|108.41|107.6|109.7|
||2026|117.33||||||||||||
|0111. (Tahıllar Ve Tahıl Ürünleri)|2025|87.48|91.95|92.11|94.38|95.61|96.96|98.36|103.84|106.74|109.87|110.62|112.09|
||2026|114.29||||||||||||
|01111. (Tahıllar)|2025|88.01|91.68|92.02|93.55|98.15|98.79|100.62|102.57|103.01|108.64|110.35|112.62|
||2026|113.21||||||||||||
|01112. (Tahıl Unları)|2025|90.04|90.49|89.76|93.64|94.12|95.19|96.65|107.44|108.13|110.0|112.0|112.53|
||2026|114.61||||||||||||
|01113. (Ekmek Ve Unlu Mamuller)|2025|87.28|92.22|92.3|94.82|95.3|96.54|97.89|103.61|107.26|109.9|110.69|112.18|
||2026|114.45||||||||||||
|01114. (Kahvaltılık Tahıl Ürünleri)|2025|83.58|82.44|91.28|90.98|96.66|109.25|98.75|104.59|107.27|107.88|111.44|115.88|
||2026|122.14||||||||||||
|01115. (Makarna, Erişte, Kuskus Ve Benzeri Makarna Ürünleri)|2025|86.96|92.15|92.77|91.09|97.89|100.14|103.4|103.99|103.15|111.23|108.22|109.02|
||2026|113.21||||||||||||
|0112. (Canlı Hayvanlar, Kesilen Kara Hayvanlarının Etleri Ve Diğer Kısımları)|2025|87.48|90.8|96.0|99.35|99.88|99.08|98.64|99.95|104.06|106.98|106.17|111.62|
||2026|120.66||||||||||||
|01122. (Et, Taze, Soğutulmuş Veya Dondurulmuş)|2025|87.68|91.02|96.65|100.47|99.81|99.15|97.95|99.79|104.25|107.22|105.33|110.68|
||2026|120.36||||||||||||
|01123. (Et, Kurutulmuş, Tuzlanmış, Salamura Edilmiş Veya Tütsülenmiş)|2025|86.26|90.02|92.06|91.23|101.47|98.57|102.78|100.27|102.46|105.67|112.34|116.87|
||2026|125.0||||||||||||
|01124. (Kesilmiş Hayvanların Sakatat Ve Diğer Parçaları (Taze, Soğutulmuş Veya Dondurulmuş, Kurutulmuş, Tuzlanmış, Salamura Edilmiş Veya Tütsülenmiş))|2025|93.51|94.93|95.78|97.11|96.56|98.59|97.9|98.34|99.55|105.0|108.13|114.59|
||2026|119.0||||||||||||
|01125. (Kesilmiş Hayvanların Et, Sakatat Ve Diğer Parçalarından Yemeye Hazır Hale Getirilmiş Ürünler)|2025|83.67|85.81|91.03|95.88|97.7|99.01|104.31|103.78|105.79|105.35|108.44|119.23|
||2026|122.33||||||||||||
|0113. (Balıklar Ve Diğer Su Ürünleri)|2025|83.48|89.46|88.29|95.73|89.58|93.9|94.12|95.93|113.26|119.89|111.92|124.46|
||2026|129.39||||||||||||
|01131. (Balıklar, Canlı, Taze, Soğutulmuş Veya Dondurulmuş)|2025|82.83|89.03|87.7|95.71|89.3|93.72|93.69|95.61|113.93|120.94|112.38|125.17|
||2026|130.36||||||||||||
|01133. (Konserve Edilmiş Veya İşlenmiş Balık Ürünleri)|2025|93.33|95.99|97.31|96.04|93.9|96.69|100.73|100.84|103.09|103.8|104.76|113.51|
||2026|116.15||||||||||||
|0114. (Süt, Diğer Süt Ürünleri Ve Yumurtalar)|2025|91.5|97.62|99.5|101.4|96.35|92.95|95.04|98.34|104.3|107.85|107.48|107.69|
||2026|109.6||||||||||||
|01141. (Çiğ Ve Tam Yağlı Süt)|2025|90.47|98.14|98.58|96.31|96.95|93.97|98.49|99.95|103.68|106.22|108.36|108.9|
||2026|114.26||||||||||||
|01142. (Yağı Alınmış Süt)|2025|90.02|100.36|98.63|101.12|96.97|99.99|96.97|99.65|101.53|104.27|105.62|104.86|
||2026|112.54||||||||||||
|01143. (Diğer Sütler Ve Krema)|2025||||||||||||100.0|
||2026|101.97||||||||||||
|01145. (Peynir)|2025|89.56|95.76|96.4|97.54|96.93|95.83|97.84|101.43|103.37|107.0|108.82|109.51|
||2026|110.44||||||||||||
|01146. (Yoğurt Ve Benzeri Ürünler)|2025|89.14|98.12|97.37|97.62|96.2|96.42|97.18|100.33|105.57|106.0|108.18|107.85|
||2026|111.31||||||||||||
|01147. (Süt Bazlı Tatlı Ve İçecekler)|2025|86.25|94.36|93.81|95.82|95.39|95.2|95.38|102.13|105.73|110.04|113.33|112.55|
||2026|115.01||||||||||||
|01148. (Yumurtalar)|2025|98.82|100.28|108.86|116.69|94.74|81.71|84.4|88.56|106.13|113.03|103.56|103.21|
