||||Sütunlar|||
Satırlar|||||||
||||Dönem 1|Dönem 2|Dönem 3|
Türkiye-TR|Brüt Ücret-Maaş Endeksi (2021=100)|B-E. (Sanayi (İnşaat Hariç))|2025|934.0|988.3|1017.0|
||B-N. (İş Ekonomisi)|2025|1003.0|1069.5|1117.7|
||B. (Madencilik Ve Taş Ocakçılığı)|2025|898.7|955.3|1098.9|
||B05. (Kömür Ve Linyit Çıkartılması)|2025|983.0|960.7|1095.9|
||B06. (Ham Petrol Ve Doğal Gaz Çıkarımı)|2025|804.0|804.2|1067.5|
||B07. (Metal Cevherleri Madenciliği)|2025|804.8|850.9|900.5|
||B08. (Diğer Madencilik Ve Taş Ocakçılığı)|2025|915.9|1056.8|1129.8|
||B09. (Madenciliği Destekleyici Hizmet Faaliyetleri)|2025|918.3|1050.4|1483.8|
||C. (İmalat)|2025|935.8|990.0|1012.7|
||C10. (Gıda Ürünlerinin İmalatı)|2025|961.0|1032.6|1112.8|
||C11. (İçeceklerin İmalatı)|2025|1011.5|1056.8|1148.9|
||C12. (Tütün Ürünleri İmalatı)|2025|971.4|985.5|960.7|
||C13. (Tekstil Ürünlerinin İmalatı)|2025|736.0|751.2|743.1|
||C14. (Giyim Eşyalarının İmalatı)|2025|707.6|711.6|695.3|
||C15. (Deri Ve İlgili Ürünlerin İmalatı)|2025|755.6|763.7|732.7|
||C16. (Ağaç, Ağaç Ürünleri Ve Mantar Ürünleri İmalatı (Mobilya Hariç); Saz, Saman Ve Benzeri Malzemelerden Örülerek Yapılan Eşyaların İmalatı)|2025|856.6|906.4|917.9|
||C17. (Kağıt Ve Kağıt Ürünlerinin İmalatı)|2025|939.7|994.4|1002.5|
||C18. (Kayıtlı Medyanın Basılması Ve Çoğaltılması)|2025|899.6|936.1|978.0|
||C19. (Kok Kömürü Ve Rafine Edilmiş Petrol Ürünleri İmalatı)|2025|989.6|1048.4|1093.6|
||C20. (Kimyasalların Ve Kimyasal Ürünlerin İmalatı)|2025|1020.5|1064.8|1107.1|
||C21. (Temel Eczacılık Ürünlerinin Ve Eczacılığa İlişkin Malzemelerin İmalatı)|2025|1151.9|1116.6|1114.0|
||C22. (Kauçuk Ve Plastik Ürünlerin İmalatı)|2025|935.3|993.3|1015.7|
||C23. (Diğer Metalik Olmayan Mineral Ürünlerin İmalatı)|2025|944.9|1070.2|1070.9|
||C24. (Ana Metal Sanayii)|2025|945.9|1060.9|1063.6|
||C25. (Fabrikasyon Metal Ürünleri İmalatı (Makine Ve Teçhizat Hariç))|2025|967.3|1024.9|1057.3|
||C26. (Bilgisayarların, Elektronik Ve Optik Ürünlerin İmalatı)|2025|1051.6|1030.5|1132.8|
||C27. (Elektrikli Teçhizat İmalatı)|2025|987.5|1040.2|1047.8|
||C28. (Başka Yerde Sınıflandırılmamış Makine Ve Ekipman İmalatı)|2025|973.2|1036.3|1043.9|
||C29. (Motorlu Kara Taşıtı, Treyler (Römork) Ve Yarı Treyler (Yarı Römork) İmalatı)|2025|1006.8|1106.7|1090.0|
||C30. (Diğer Ulaşım Araçlarının İmalatı)|2025|1496.8|1578.1|1748.1|
||C31. (Mobilya İmalatı)|2025|882.6|908.3|926.4|
||C32. (Diğer İmalatlar)|2025|972.8|1018.0|1032.2|
||C33. (Makine Ve Ekipmanların Kurulumu Ve Onarımı)|2025|1100.4|1161.9|1250.5|
||D. (Elektrik, Gaz, Buhar Ve İklimlendirme Üretimi Ve Dağıtımı)|2025|1043.8|1091.3|1146.7|
||D35. (Elektrik, Gaz, Buhar Ve Havalandırma Sistemi Üretim Ve Dağıtımı)|2025|1043.8|1091.3|1146.7|
||E. (Su Temini, Kanalizasyon, Atık Yönetimi Ve İyileştirme Faaliyetleri)|2025|687.9|753.8|788.0|
||E36. (Suyun Toplanması, Arıtılması Ve Dağıtılması)|2025|387.9|443.6|475.6|
||E37. (Kanalizasyon)|2025|981.0|1152.4|1243.7|
||E38. (Atığın Toplanması, Islahı Ve Bertarafı Faaliyetleri; Maddelerin Geri Kazanımı)|2025|946.7|1015.7|1047.2|
||E39. (İyileştirme Faaliyetleri Ve Diğer Atık Yönetimi Hizmetleri)|2025|451.7|535.6|686.8|
||F. (İnşaat)|2025|1030.0|1125.4|1215.1|
||F41. (Bina İnşaatı)|2025|1104.4|1213.5|1315.6|
||F42. (Bina Dışı Yapıların İnşaatı)|2025|927.0|1036.0|1117.1|
||F43. (Özel İnşaat Faaliyetleri)|2025|967.1|1014.9|1085.1|
||G-N. (İş Ekonomisi Hizmetleri)|2025|1047.8|1119.0|1175.3|
