||||Sütunlar|||
Satırlar|||||||
||||Dönem 1|Dönem 2|Dönem 3|
Türkiye-TR|İstihdam Endeksi (2021=100)|B-E. (Sanayi (İnşaat Hariç))|2025|105.1|105.2|104.9|
||B-N. (İş Ekonomisi)|2025|112.8|116.4|118.5|
||B. (Madencilik Ve Taş Ocakçılığı)|2025|100.7|104.7|105.7|
||B05. (Kömür Ve Linyit Çıkartılması)|2025|105.7|104.2|99.9|
||B06. (Ham Petrol Ve Doğal Gaz Çıkarımı)|2025|99.7|99.7|107.0|
||B07. (Metal Cevherleri Madenciliği)|2025|83.9|87.3|88.8|
||B08. (Diğer Madencilik Ve Taş Ocakçılığı)|2025|103.3|111.8|114.9|
||B09. (Madenciliği Destekleyici Hizmet Faaliyetleri)|2025|119.4|122.4|127.5|
||C. (İmalat)|2025|105.0|104.9|104.5|
||C10. (Gıda Ürünlerinin İmalatı)|2025|110.2|112.4|115.7|
||C11. (İçeceklerin İmalatı)|2025|106.9|114.1|119.3|
||C12. (Tütün Ürünleri İmalatı)|2025|119.3|116.6|115.5|
||C13. (Tekstil Ürünlerinin İmalatı)|2025|91.1|88.6|85.7|
||C14. (Giyim Eşyalarının İmalatı)|2025|90.2|88.2|85.3|
||C15. (Deri Ve İlgili Ürünlerin İmalatı)|2025|90.8|88.3|83.8|
||C16. (Ağaç, Ağaç Ürünleri Ve Mantar Ürünleri İmalatı (Mobilya Hariç); Saz, Saman Ve Benzeri Malzemelerden Örülerek Yapılan Eşyaların İmalatı)|2025|100.5|100.1|101.1|
||C17. (Kağıt Ve Kağıt Ürünlerinin İmalatı)|2025|107.6|107.0|106.5|
||C18. (Kayıtlı Medyanın Basılması Ve Çoğaltılması)|2025|101.0|100.7|100.5|
||C19. (Kok Kömürü Ve Rafine Edilmiş Petrol Ürünleri İmalatı)|2025|94.4|94.5|95.0|
||C20. (Kimyasalların Ve Kimyasal Ürünlerin İmalatı)|2025|115.0|115.5|115.9|
||C21. (Temel Eczacılık Ürünlerinin Ve Eczacılığa İlişkin Malzemelerin İmalatı)|2025|116.3|116.2|115.2|
||C22. (Kauçuk Ve Plastik Ürünlerin İmalatı)|2025|107.8|108.1|107.6|
||C23. (Diğer Metalik Olmayan Mineral Ürünlerin İmalatı)|2025|101.2|106.5|108.0|
||C24. (Ana Metal Sanayii)|2025|111.8|111.9|111.1|
||C25. (Fabrikasyon Metal Ürünleri İmalatı (Makine Ve Teçhizat Hariç))|2025|109.8|109.7|110.1|
||C26. (Bilgisayarların, Elektronik Ve Optik Ürünlerin İmalatı)|2025|112.8|112.8|113.2|
||C27. (Elektrikli Teçhizat İmalatı)|2025|108.0|107.3|106.5|
||C28. (Başka Yerde Sınıflandırılmamış Makine Ve Ekipman İmalatı)|2025|109.4|108.7|107.6|
||C29. (Motorlu Kara Taşıtı, Treyler (Römork) Ve Yarı Treyler (Yarı Römork) İmalatı)|2025|116.8|117.1|116.9|
||C30. (Diğer Ulaşım Araçlarının İmalatı)|2025|157.3|157.9|160.2|
||C31. (Mobilya İmalatı)|2025|107.7|107.5|107.6|
||C32. (Diğer İmalatlar)|2025|118.4|117.8|117.0|
||C33. (Makine Ve Ekipmanların Kurulumu Ve Onarımı)|2025|119.2|119.3|120.2|
||D. (Elektrik, Gaz, Buhar Ve İklimlendirme Üretimi Ve Dağıtımı)|2025|118.4|119.8|122.5|
||D35. (Elektrik, Gaz, Buhar Ve Havalandırma Sistemi Üretim Ve Dağıtımı)|2025|118.4|119.8|122.5|
||E. (Su Temini, Kanalizasyon, Atık Yönetimi Ve İyileştirme Faaliyetleri)|2025|96.5|96.3|96.8|
||E36. (Suyun Toplanması, Arıtılması Ve Dağıtılması)|2025|76.8|76.6|76.5|
||E37. (Kanalizasyon)|2025|112.6|120.0|124.2|
||E38. (Atığın Toplanması, Islahı Ve Bertarafı Faaliyetleri; Maddelerin Geri Kazanımı)|2025|106.2|105.5|105.9|
||E39. (İyileştirme Faaliyetleri Ve Diğer Atık Yönetimi Hizmetleri)|2025|76.0|84.6|103.1|
||F. (İnşaat)|2025|120.6|128.9|137.2|
||F41. (Bina İnşaatı)|2025|127.0|137.7|146.9|
||F42. (Bina Dışı Yapıların İnşaatı)|2025|102.4|109.1|117.6|
||F43. (Özel İnşaat Faaliyetleri)|2025|115.7|118.8|124.7|
||G-N. (İş Ekonomisi Hizmetleri)|2025|116.1|120.9|123.4|
||G. (Toptan Ve Perakende Ticaret, Motorlu Kara Taşıtlarının Ve Motosikletlerin Onarımı)|2025|111.9|113.7|115.8|
